Rk,Player,Pos,Squad,Age,Min,90s,Gls/90,Ast/90,xA/90,npxG/90,KP,CrsPA,Prog
1,Patrick van Aanholt\Patrick-van-Aanholt,DF,Crystal Palace,27,3195,35.5,0.08,0.06,0.1,0.07,31,9,215
2,Sergio Agüero\Sergio-Aguero,FW,Manchester City,30,2459,27.3,0.77,0.29,0.19,0.66,33,0,63
3,Nathan Aké\Nathan-Ake,DF,Bournemouth,23,3411,37.9,0.11,0,0.02,0.09,4,2,69
4,Marc Albrighton\Marc-Albrighton,FWMF,Leicester City,28,1625,18.1,0.11,0.11,0.16,0.07,29,15,80
5,Toby Alderweireld\Toby-Alderweireld,DF,Tottenham,29,2922,32.5,0,0,0.02,0.04,7,1,123
6,Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,Liverpool,19,2462,27.4,0.04,0.44,0.23,0.05,48,27,191
7,Alisson\Alisson,GK,Liverpool,25,3420,38,0,0,0,0,0,0,0
8,Dele Alli\Dele-Alli,MF,Tottenham,22,1825,20.3,0.25,0.15,0.14,0.29,28,3,96
9,Miguel Almirón\Miguel-Almiron,FWMF,Newcastle Utd,24,759,8.4,0,0,0.1,0.19,12,9,19
10,Marcos Alonso\Marcos-Alonso,DF,Chelsea,27,2759,30.7,0.07,0.13,0.11,0.09,31,9,133
11,Daniel Amartey\Daniel-Amartey,DF,Leicester City,23,641,7.1,0,0,0.02,0.05,3,0,29
12,Luke Amos\Luke-Amos,MF,Tottenham,21,3,0,0,0,0,0,0,0,0
13,Felipe Anderson\Felipe-Anderson,MFFW,West Ham,25,3043,33.8,0.27,0.12,0.2,0.15,62,14,188
14,Florin Andone\Florin-Andone,FW,Brighton,25,881,9.8,0.31,0,0.01,0.21,2,1,4
15,Michail Antonio\Michail-Antonio,FWMF,West Ham,28,2103,23.4,0.26,0.17,0.15,0.29,20,7,57
16,Stuart Armstrong\Stuart-Armstrong,MFFW,Southampton,26,1432,15.9,0.19,0.13,0.09,0.15,28,2,63
17,Marko Arnautović\Marko-Arnautovic,FW,West Ham,29,1990,22.1,0.45,0.18,0.17,0.4,33,2,39
18,Kepa Arrizabalaga\Kepa-Arrizabalaga,GK,Chelsea,23,3240,36,0,0,0,0,0,0,1
19,Harry Arter\Harry-Arter,MF,Cardiff City,28,1997,22.2,0,0.05,0.03,0.05,11,3,67
20,Christian Atsu\Christian-Atsu,MFFW,Newcastle Utd,26,1493,16.6,0.06,0,0.07,0.13,13,6,21
21,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,FW,Arsenal,29,2726,30.3,0.73,0.17,0.14,0.53,33,4,66
22,Serge Aurier\Serge-Aurier,DFMF,Tottenham,25,564,6.3,0,0.32,0.09,0.02,5,7,27
23,Charlie Austin\Charlie-Austin,FW,Southampton,29,983,10.9,0.18,0.18,0.04,0.27,8,0,7
24,Jordan Ayew\Jordan-Ayew,FW,Crystal Palace,26,1181,13.1,0.08,0.15,0.07,0.21,12,0,17
25,Floyd Ayité\Floyd-Ayite,FWMF,Fulham,29,476,5.3,0.19,0,0.06,0.07,8,1,20
26,César Azpilicueta\Cesar-Azpilicueta,DF,Chelsea,28,3402,37.8,0.03,0.13,0.07,0.02,26,20,158
27,Ryan Babel\Ryan-Babel,FW,Fulham,31,1251,13.9,0.36,0.22,0.16,0.34,23,3,29
28,Juninho Bacuna\Juninho-Bacuna,MFDF,Huddersfield,20,1412,15.7,0.06,0,0.1,0.03,18,1,81
29,Leandro Bacuna\Leandro-Bacuna,MFDF,Cardiff City,26,561,6.2,0,0,0,0.01,1,2,15
30,Eric Bailly\Eric-Bailly,DF,Manchester Utd,24,638,7.1,0,0,0,0.03,0,0,8
31,Leighton Baines\Leighton-Baines,DF,Everton,33,375,4.2,0,0,0.03,0.02,4,1,20
32,Fabián Balbuena\Fabian-Balbuena,DF,West Ham,26,2013,22.4,0.04,0,0,0.09,3,0,39
33,Leon Balogun\Leon-Balogun,DF,Brighton,30,594,6.6,0.15,0,0,0.03,0,0,5
34,Sol Bamba\Sol-Bamba,DF,Cardiff City,33,2474,27.5,0.15,0.04,0.01,0.09,4,0,37
35,Phil Bardsley\Phil-Bardsley,DF,Burnley,33,1670,18.6,0,0,0.04,0.01,7,8,54
36,Ross Barkley\Ross-Barkley,MF,Chelsea,24,1245,13.8,0.22,0.36,0.15,0.28,20,2,64
37,Ashley Barnes\Ashley-Barnes,FW,Burnley,28,2388,26.5,0.45,0.08,0.13,0.38,20,2,39
38,Harvey Barnes\Harvey-Barnes,FWMF,Leicester City,20,1004,11.2,0.09,0.18,0.13,0.28,16,4,30
39,Antonio Barreca\Antonio-Barreca,DF,Newcastle Utd,23,5,0.1,0,0,0,0,0,0,1
40,Michy Batshuayi\Michy-Batshuayi,FW,Crystal Palace,24,750,8.3,0.6,0,0.01,0.43,1,0,7
41,Jan Bednarek\Jan-Bednarek,DF,Southampton,22,2151,23.9,0,0.04,0.02,0.02,7,0,62
42,Asmir Begović\Asmir-Begovic,GK,Bournemouth,31,2160,24,0,0,0,0,0,0,0
43,Héctor Bellerín\Hector-Bellerin,DF,Arsenal,23,1533,17,0,0.29,0.12,0.06,8,6,85
44,Joe Bennett\Joe-Bennett,DF,Cardiff City,28,2639,29.3,0,0.03,0.04,0.02,13,9,74
45,Ryan Bennett\Ryan-Bennett,DF,Wolves,28,3060,34,0.03,0,0.02,0.04,5,0,74
46,Christian Benteke\Christian-Benteke,FW,Crystal Palace,27,814,9,0.11,0.11,0.13,0.38,7,0,15
47,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,MFFW,Burnley,27,1752,19.5,0.15,0.31,0.19,0.15,37,15,43
48,Bernard\Bernard,FWMF,Everton,25,2116,23.5,0.04,0.13,0.14,0.12,40,9,81
49,Bernardo\Bernardo,DF,Brighton,23,1752,19.5,0,0.05,0.05,0.02,10,3,84
50,Ryan Bertrand\Ryan-Bertrand,DF,Southampton,28,2160,24,0.04,0,0.08,0.04,24,13,82
51,Marcus Bettinelli\Marcus-Bettinelli,GK,Fulham,26,630,7,0,0,0,0,0,0,0
52,Philip Billing\Philip-Billing,MF,Huddersfield,22,2188,24.3,0.08,0,0.04,0.08,17,12,86
53,Yves Bissouma\Yves-Bissouma,MF,Brighton,21,1774,19.7,0,0,0.06,0.08,14,1,48
54,Willy Boly\Willy-Boly,DF,Wolves,27,3167,35.2,0.11,0,0.03,0.08,10,0,120
55,Léo Bonatini\Leo-Bonatini,FW,Wolves,24,135,1.5,0,0.67,0.15,0.96,2,1,3
56,Gaëtan Bong\Gaetan-Bong,DF,Brighton,30,1808,20.1,0,0,0.03,0,8,8,62
57,Artur Boruc\Artur-Boruc,GK,Bournemouth,38,1080,12,0,0,0,0,0,0,0
58,Robbie Brady\Robbie-Brady,MFFW,Burnley,26,720,8,0,0.12,0.15,0.08,13,5,20
59,Miguel Britos\Miguel-Britos,DF,Watford,33,185,2.1,0,0,0,0,0,0,5
60,David Brooks\David-Brooks,MFFW,Bournemouth,21,2261,25.1,0.28,0.2,0.16,0.25,29,4,96
61,Bruno\Bruno,DF,Brighton,37,1131,12.6,0,0.08,0.02,0,6,4,45
62,Joe Bryan\Joe-Bryan,DF,Fulham,24,2345,26.1,0,0.04,0.08,0.03,22,13,106
63,David Button\David-Button,GK,Brighton,29,360,4,0,0,0,0,0,0,0
64,Willy Caballero\Willy-Caballero,GK,Chelsea,36,180,2,0,0,0,0,0,0,0
65,Gary Cahill\Gary-Cahill,DF,Chelsea,32,24,0.3,0,0,0,0,0,0,6
66,Tom Cairney\Tom-Cairney,MFFW,Fulham,27,2194,24.4,0.04,0.04,0.14,0.04,37,2,112
67,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,FW,Everton,21,1784,19.8,0.3,0.1,0.06,0.26,10,1,20
68,Rafael Camacho\Rafael-Camacho,DF,Liverpool,18,1,0,0,0,0,0,0,0,0
69,Víctor Camarasa\Victor-Camarasa,MF,Cardiff City,24,2569,28.5,0.18,0.14,0.12,0.09,46,9,64
70,Étienne Capoue\Etienne-Capoue,MF,Watford,30,2944,32.7,0.03,0.09,0.03,0.03,9,0,156
71,Andy Carroll\Andy-Carroll,FW,West Ham,29,461,5.1,0,0,0.03,0.36,4,0,6
72,Jonny Castro\Jonny-Castro,DFMF,Wolves,24,2771,30.8,0.03,0.03,0.06,0.06,25,6,58
73,Craig Cathcart\Craig-Cathcart,DF,Watford,29,3096,34.4,0.09,0,0.01,0.04,1,1,57
74,Ivan Cavaleiro\Ivan-Cavaleiro,FW,Wolves,24,693,7.7,0.39,0.13,0.18,0.31,18,8,17
75,Petr Čech\Petr-Cech,GK,Arsenal,36,584,6.5,0,0,0,0,0,0,0
76,Nathaniel Chalobah\Nathaniel-Chalobah,MFFW,Watford,23,270,3,0,0,0,0.05,0,0,11
77,Calum Chambers\Calum-Chambers,MFDF,Fulham,23,2588,28.8,0.07,0,0.02,0.07,15,0,118
78,Ben Chilwell\Ben-Chilwell,DF,Leicester City,21,3240,36,0,0.11,0.08,0.02,39,16,143
79,Tahith Chong\Tahith-Chong,FW,Manchester Utd,18,38,0.4,0,0,0,0.18,0,0,2
80,Hamza Choudhury\Hamza-Choudhury,MF,Leicester City,20,595,6.6,0,0,0.06,0.04,4,1,16
81,Andreas Christensen\Andreas-Christensen,DF,Chelsea,22,617,6.9,0,0,0,0,0,0,32
82,Cyrus Christie\Cyrus-Christie,DF,Fulham,25,1948,21.6,0,0.05,0.06,0.03,21,11,73
83,Ibrahima Cissé\Ibrahima-Cisse,MF,Fulham,24,88,1,0,0,0,0,0,0,2
84,Ciaran Clark\Ciaran-Clark,DF,Newcastle Utd,28,858,9.5,0.31,0,0.05,0.05,3,0,21
85,Tom Cleverley\Tom-Cleverley,MFFW,Watford,28,478,5.3,0.19,0,0,0.04,0,0,15
86,Nathaniel Clyne\Nathaniel-Clyne,DF,Liverpool,27,111,1.2,0,0,0,0.04,0,0,4
87,Nathaniel Clyne\Nathaniel-Clyne,DF,Bournemouth,27,1143,12.7,0,0.08,0.01,0.02,0,0,4
88,Conor Coady\Conor-Coady,DF,Wolves,25,3420,38,0,0,0,0,0,0,62
89,Joel Coleman\Joel-Coleman,GK,Huddersfield,22,90,1,0,0,0,0,0,0,0
90,Séamus Coleman\Seamus-Coleman,DF,Everton,29,2558,28.4,0.07,0.07,0.08,0.04,21,11,114
91,Lewis Cook\Lewis-Cook,MF,Bournemouth,21,723,8,0,0,0.01,0.01,2,1,36
92,Steve Cook\Steve-Cook,DF,Bournemouth,27,2786,31,0.03,0.03,0.04,0.04,13,1,84
93,Jack Cork\Jack-Cork,MF,Burnley,29,3312,36.8,0.03,0.05,0.04,0.04,17,3,88
94,Hélder Costa\Helder-Costa,FWMF,Wolves,24,1341,14.9,0.07,0.13,0.11,0.16,17,3,34
95,Aaron Cresswell\Aaron-Cresswell,DF,West Ham,28,1589,17.7,0,0.06,0.05,0.03,16,5,65
96,Peter Crouch\Peter-Crouch,FW,Burnley,37,92,1,0,0,0,0.35,0,0,2
97,Greg Cunningham\Greg-Cunningham,DF,Cardiff City,27,630,7,0,0,0.02,0,5,4,12
98,Diogo Dalot\Diogo-Dalot,DFMF,Manchester Utd,19,1013,11.3,0,0.18,0.18,0.05,17,6,41
99,Matty Daly\Matty-Daly,MF,Huddersfield,17,75,0.8,0,0,0,0,0,0,0
100,Loïc Damour\Loic-Damour,MF,Cardiff City,27,23,0.3,0,0,0,0.08,0,0,0
101,Charlie Daniels\Charlie-Daniels,DF,Bournemouth,31,1585,17.6,0.06,0,0.03,0.03,9,5,75
102,Danilo\Danilo,DF,Manchester City,27,807,9,0.11,0,0.04,0.05,5,1,56
103,Scott Dann\Scott-Dann,DF,Crystal Palace,31,663,7.4,0,0.14,0,0.04,0,0,15
104,Matteo Darmian\Matteo-Darmian,DF,Manchester Utd,28,443,4.9,0,0,0.02,0.01,2,1,12
105,Ben Davies\Ben-Davies,DF,Tottenham,25,1844,20.5,0,0,0.1,0.04,16,8,110
106,Tom Davies\Tom-Davies,MF,Everton,20,980,10.9,0,0,0.05,0.03,5,0,41
107,Steven Davis\Steven-Davis,MF,Southampton,33,98,1.1,0,0.92,0.62,0,3,0,7
108,Kevin De Bruyne\Kevin-De-Bruyne,MF,Manchester City,27,975,10.8,0.18,0.18,0.32,0.2,33,8,86
109,Troy Deeney\Troy-Deeney,FW,Watford,30,2545,28.3,0.32,0.18,0.17,0.34,40,3,104
110,Jermain Defoe\Jermain-Defoe,FW,Bournemouth,35,25,0.3,0,0,0,1.68,0,0,0
111,Steven Defour\Steven-Defour,MF,Burnley,30,448,5,0,0,0.01,0,2,0,19
112,Fabian Delph\Fabian-Delph,DF,Manchester City,28,725,8.1,0,0.12,0.04,0.01,3,1,48
113,Mousa Dembélé\Mousa-Dembele,MF,Tottenham,31,515,5.7,0,0,0,0.01,0,0,18
114,Leander Dendoncker\Leander-Dendoncker,MF,Wolves,23,1467,16.3,0.12,0,0.07,0.16,7,1,35
115,Laurent Depoitre\Laurent-Depoitre,FW,Huddersfield,29,1068,11.9,0,0.08,0.08,0.32,10,0,15
116,Gerard Deulofeu\Gerard-Deulofeu,FW,Watford,24,2066,23,0.44,0.22,0.23,0.35,31,5,73
117,Fousseni Diabaté\Fousseni-Diabate,FW,Leicester City,22,54,0.6,0,0,0.24,0,1,1,0
118,Adama Diakhaby\Adama-Diakhaby,FWMF,Huddersfield,22,552,6.1,0,0,0.07,0.14,5,0,10
119,Mohamed Diamé\Mohamed-Diame,MF,Newcastle Utd,31,2166,24.1,0,0,0,0.04,2,1,43
120,Grady Diangana\Grady-Diangana,FWMF,West Ham,20,609,6.8,0,0.15,0.17,0.1,11,1,20
121,Eric Dier\Eric-Dier,MF,Tottenham,24,1506,16.7,0.18,0,0.04,0.1,7,3,73
122,Lucas Digne\Lucas-Digne,DF,Everton,25,2965,32.9,0.12,0.12,0.19,0.03,70,32,156
123,Virgil van Dijk\Virgil-van-Dijk,DF,Liverpool,27,3384,37.6,0.11,0.05,0.03,0.08,6,0,144
124,Issa Diop\Issa-Diop,DF,West Ham,21,2970,33,0.03,0,0,0.03,2,0,58
125,Matt Doherty\Matt-Doherty,DFMF,Wolves,26,3144,34.9,0.11,0.14,0.11,0.15,37,11,155
126,Abdoulaye Doucouré\Abdoulaye-Doucoure,MF,Watford,25,3062,34,0.15,0.18,0.11,0.17,36,3,155
127,Luke Dreher\Luke-Dreher,MF,Crystal Palace,19,1,0,0,0,0,0,0,0,0
128,Martin Dúbravka\Martin-Dubravka,GK,Newcastle Utd,29,3420,38,0,0,0,0,0,0,0
129,Shane Duffy\Shane-Duffy,DF,Brighton,26,3087,34.3,0.15,0.03,0.02,0.08,7,2,29
130,Demeaco Duhaney\Demeaco-Duhaney,DF,Huddersfield,19,45,0.5,0,0,0,0,0,0,3
131,Paul Dummett\Paul-Dummett,DF,Newcastle Utd,26,1990,22.1,0,0,0.02,0.01,4,3,68
132,Lewis Dunk\Lewis-Dunk,DF,Brighton,26,3151,35,0.06,0.03,0.02,0.03,10,0,40
133,Erik Durm\Erik-Durm,DF,Huddersfield,26,2055,22.8,0,0.04,0.03,0.02,12,10,69
134,Bruno Ecuele Manga\Bruno-Ecuele-Manga,DF,Cardiff City,30,3376,37.5,0,0.03,0.01,0.02,5,2,86
135,Ederson\Ederson,GK,Manchester City,24,3420,38,0,0.03,0.01,0,3,0,3
136,Harvey Elliot\Harvey-Elliot,MF,Fulham,15,20,0.2,0,0,0,0.53,0,0,1
137,Mohamed Elneny\Mohamed-Elneny,MF,Arsenal,26,380,4.2,0,0,0.04,0.14,4,0,28
138,Mohamed Elyounoussi\Mohamed-Elyounoussi,MFFW,Southampton,23,793,8.8,0,0,0.11,0.19,12,1,15
139,Christian Eriksen\Christian-Eriksen,MF,Tottenham,26,2774,30.8,0.26,0.39,0.23,0.18,73,10,178
140,Neil Etheridge\Neil-Etheridge,GK,Cardiff City,28,3420,38,0,0,0,0,2,0,0
141,Jonny Evans\Jonny-Evans,DF,Leicester City,30,1996,22.2,0.05,0,0.01,0.04,4,0,31
142,Łukasz Fabiański\Lukasz-Fabianski,GK,West Ham,33,3420,38,0,0,0,0,3,0,0
143,Fabinho\Fabinho,MF,Liverpool,24,2017,22.4,0.04,0.09,0.06,0.04,16,2,130
144,Cesc Fàbregas\Cesc-Fabregas,MF,Chelsea,31,180,2,0,0,0.14,0.05,3,0,18
145,Fabricio\Fabricio,GK,Fulham,30,180,2,0,0,0,0,0,0,0
146,Marouane Fellaini\Marouane-Fellaini,MF,Manchester Utd,30,752,8.4,0,0.12,0.03,0.03,5,1,29
147,Kiko Femenía\Kiko-Femenia,DF,Watford,27,2049,22.8,0.04,0.04,0.07,0.02,14,13,87
148,Federico Fernández\Federico-Fernandez,DF,Newcastle Utd,29,1484,16.5,0,0.06,0.02,0.02,4,2,36
149,Fernandinho\Fernandinho,MF,Manchester City,33,2377,26.4,0.04,0.11,0.1,0.06,23,0,214
150,Roberto Firmino\Roberto-Firmino,FWMF,Liverpool,26,2607,29,0.41,0.21,0.2,0.43,43,1,151
151,Phil Foden\Phil-Foden,MF,Manchester City,18,335,3.7,0.27,0,0.17,0.68,8,0,18
152,Fraser Forster\Fraser-Forster,GK,Southampton,30,90,1,0,0,0,0,0,0,0
153,Ben Foster\Ben-Foster,GK,Watford,35,3420,38,0,0,0.01,0,7,0,0
154,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,DF,Fulham,20,793,8.8,0,0,0.06,0.01,6,0,36
155,Juan Foyth\Juan-Foyth,DF,Tottenham,20,888,9.9,0.1,0,0.03,0.08,3,1,18
156,Simon Francis\Simon-Francis,DF,Bournemouth,33,1229,13.7,0,0.15,0.08,0.01,12,8,67
157,Ryan Fraser\Ryan-Fraser,MFFW,Bournemouth,24,3166,35.2,0.2,0.4,0.34,0.14,87,23,137
158,Fred\Fred,MF,Manchester Utd,25,1041,11.6,0.09,0.09,0.08,0.07,15,2,65
159,Ryan Fredericks\Ryan-Fredericks,DF,West Ham,25,1086,12.1,0.08,0,0.03,0.04,4,4,26
160,Christian Fuchs\Christian-Fuchs,DF,Leicester City,32,207,2.3,0,0,0.11,0.02,6,4,19
161,Manolo Gabbiadini\Manolo-Gabbiadini,FWMF,Southampton,26,476,5.3,0.19,0,0.03,0.36,3,0,4
162,Sam Gallagher\Sam-Gallagher,FWDF,Southampton,22,34,0.4,0,0,0,0,0,0,0
163,Idrissa Gana Gueye\Idrissa-Gana-Gueye,MF,Everton,28,2822,31.4,0,0.06,0.03,0.02,19,2,173
164,James Garner\James-Garner,MF,Manchester Utd,17,1,0,0,0,0,0,0,0,0
165,Paulo Gazzaniga\Paulo-Gazzaniga,GK,Tottenham,26,270,3,0,0,0,0,0,0,0
166,David de Gea\David-de-Gea,GK,Manchester Utd,27,3420,38,0,0,0,0,1,0,0
167,Rachid Ghezzal\Rachid-Ghezzal,FWMF,Leicester City,26,743,8.3,0.12,0,0.22,0.15,15,8,38
168,Morgan Gibbs-White\Morgan-Gibbs-White,MFFW,Wolves,18,663,7.4,0,0.14,0.19,0.13,11,0,23
169,Ben Gibson\Ben-Gibson,DF,Burnley,25,62,0.7,1.45,0,0,0.72,0,0,3
170,Olivier Giroud\Olivier-Giroud,FW,Chelsea,31,847,9.4,0.21,0.43,0.25,0.38,16,0,11
171,André Gomes\Andre-Gomes,MF,Everton,25,1980,22,0.05,0.05,0.02,0.08,6,3,114
172,Angel Gomes\Angel-Gomes,MFFW,Manchester Utd,17,27,0.3,0,0,0,0.44,0,0,1
