Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Guilford,Rodrigo,Pass,0,17,80,8,71,10
Guilford,Rodrigo,Dribble,0,24,82,10,80,14
Guilford,Rodrigo,Cross,0,27,79,15,97,64
Guilford,Rodrigo,Interception,0,47,72,34,-,-
Guilford,Rodrigo,Dribble,0,47,72,32,78,40
Guilford,Rodrigo,Shot,0,47,81,41,100,56
Guilford,Rodrigo,Pass,0,56,81,83,70,77
Guilford,Rodrigo,Pass,1,9,77,65,89,78
Guilford,Rodrigo,Dribble,1,20,80,86,87,89
Guilford,Rodrigo,Dribble,1,34,57,33,79,40
Guilford,Rodrigo,Shot,1,34,80,39,100,54
Guilford,Rodrigo,Dribble,1,49,42,40,64,36
Guilford,Rodrigo,Pass,1,47,64,37,62,49
Guilford,Rodrigo,Dribble,2,9,20,25,47,36
Guilford,Rodrigo,Pass,2,9,48,37,56,63
Guilford,Rodrigo,Pass,2,20,55,48,41,29
Guilford,Rodrigo,Dribble,2,41,35,53,19,53
Guilford,Rodrigo,Dribble,2,52,70,27,78,27
Guilford,Rodrigo,Pass,2,52,79,26,85,11
Guilford,Rodrigo,Pass,3,11,68,19,66,28
Guilford,Rodrigo,Pass,3,23,78,32,80,58
Guilford,Rodrigo,Pass,3,33,68,28,74,31
Guilford,Rodrigo,Pass,3,46,63,67,69,20